size,p_connection,LV_eff,continuation_eff,greedy_eff
11,0.21799047934530644,0.86,0.984,0.976
16,0.17328679513998632,0.754,0.961,0.952
23,0.13632583547518043,0.633,0.897,0.907
32,0.10830424696249145,0.496,0.85,0.821
45,0.08459249977267377,0.3,0.741,0.71
64,0.06498254817749487,0.16,0.6,0.55
91,0.04956988468699835,0.062,0.452,0.351
128,0.03790648643687201,0.008,0.24,0.185
160,0.031719836345211416,0.003,0.133,0.081
200,0.02649158683274018,0.0,0.085,0.044
