type,size,k,runs,LV_eff,continuation_eff,greedy_eff
geometric,11,0.5,1000,0.941,0.981,0.982
geometric,16,0.5,1000,0.887,0.931,0.972
geometric,23,0.5,1000,0.815,0.806,0.948
geometric,32,0.5,1000,0.678,0.554,0.893
geometric,45,0.5,1000,0.538,0.277,0.862
geometric,64,0.5,1000,0.431,0.126,0.801
geometric,91,0.5,1000,0.272,0.044,0.699
geometric,128,0.5,1000,0.094,0.008,0.75
geometric,160,0.5,1000,0.08,0.007,0.824
geometric,200,0.5,1000,0.063,0.01,0.867
