value,count_uniform,count_LV
17,14,0
18,534,0
19,4195,0
20,14958,0
21,27921,0
22,44089,0
23,61502,0
24,76172,0
25,87171,14
26,86949,1012
27,56947,6083
28,26713,31813
29,9241,123355
30,1878,278670
31,57,57394
