type,size,p_connection,LV_app,LV_app_CI_lower,LV_app_CI_upper,continuation_app,continuation_app_CI_lower,continuation_app_CI_upper,greedy_app,greedy_app_CI_lower,greedy_app_CI_upper
bipartite,46,0.5,0.9564347826086956,0.9461078014298046,0.9667617637875867,1.0,1.0,1.0,0.9961304347826087,0.9941001203197877,0.9981607492454296
bipartite,66,0.5,0.9741818181818183,0.9652372983380756,0.9831263380255609,1.0,1.0,1.0,0.9986666666666666,0.9973479272937085,0.9999854060396247
bipartite,90,0.5,0.9921555555555556,0.9870645258864988,0.9972465852246123,1.0,1.0,1.0,0.9997555555555556,0.9991247031997791,1.000386407911332
bipartite,130,0.5,0.9997692307692307,0.9991736708529382,1.0003647906855233,1.0,1.0,1.0,1.0,1.0,1.0
bipartite,160,0.5,0.996875,0.993148107128031,1.0006018928719689,1.0,1.0,1.0,1.0,1.0,1.0
bipartite,200,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
