size,p_connection,LV_app,LV_app_CI_lower,LV_app_CI_upper,continuation_app,continuation_app_CI_lower,continuation_app_CI_upper,greedy_app,greedy_app_CI_lower,greedy_app_CI_upper
60,0.06823907603703501,0.9464659612023126,0.9434325063246639,0.9494994160799614,0.984152254689446,0.9823519010380068,0.9859526083408852,0.9793830800966842,0.9772308685682511,0.9815352916251172
60,0.1614151684333315,0.9064401383360362,0.90175668803241,0.9111235886396624,0.9698812865497077,0.9670345100427742,0.9727280630566413,0.9514467240404934,0.947898756375237,0.9549946917057497
60,0.254591260829628,0.8851599816849819,0.8794611555974733,0.8908588077724905,0.9600780677655679,0.9561941097940012,0.9639620257371346,0.934645695970696,0.9301636647958852,0.9391277271455069
60,0.3477673532259245,0.8723216783216783,0.8656161456708993,0.8790272109724573,0.9612297979797979,0.9569659611387167,0.9654936348208791,0.9260507770007769,0.9206080569385043,0.9314934970630494
60,0.440943445622221,0.8606252525252527,0.8535329665389771,0.8677175385115282,0.956563888888889,0.9515829766327626,0.9615448011450154,0.9258487373737374,0.9200390722103715,0.9316584025371033
60,0.5341195380185175,0.8593492063492064,0.8516108750822167,0.8670875376161962,0.9588214285714287,0.9535620567743849,0.9640808003684725,0.9187103174603176,0.9117899304517607,0.9256307044688745
60,0.6272956304148141,0.8593238095238096,0.850862818960278,0.8677848000873412,0.9618809523809525,0.9561553629801697,0.9676065417817353,0.9136904761904763,0.906235120962995,0.9211458314179576
60,0.7204717228111105,0.8678904761904763,0.8586696118850357,0.877111340495917,0.9684333333333334,0.9625894300702305,0.9742772365964363,0.9192142857142858,0.9108321057282559,0.9275964657003156
60,0.813647815207407,0.8804500000000001,0.8697180761785636,0.8911819238214366,0.98015,0.9748404608712502,0.9854595391287497,0.9347166666666668,0.9259199795208122,0.9435133538125213
60,0.9068239076037036,0.9146666666666666,0.9035870901995662,0.9257462431337671,0.9846666666666666,0.9797499100199409,0.9895834233133922,0.95425,0.9462174676989795,0.9622825323010206
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
