size,p_connection,LV_app,LV_app_CI,continuation_app,continuation_app_CI,greedy_app,greedy_app_CI,LV_app_CI_lower,LV_app_CI_upper,continuation_app_CI_lower,continuation_app_CI_upper,greedy_app_CI_lower,greedy_app_CI_upper
11,0.21799047934530644,0.9744095238095237,,0.9972333333333333,,0.9952666666666666,,0.9691159212501508,0.9797031263688967,0.9954566708498314,0.9990099958168353,0.992739953900961,0.9977933794323722
16,0.17328679513998632,0.9669373015873016,,0.9949880952380952,,0.9938611111111111,,0.9620061493598911,0.9718684538147121,0.9929513013412241,0.9970248891349662,0.9916103119616487,0.9961119102605734
23,0.13632583547518043,0.9619259129759129,,0.9904851981351981,,0.9911219114219115,,0.9575006730753907,0.9663511528764351,0.9881619175882556,0.9928084786821406,0.9888038592589273,0.9934399635848957
32,0.10830424696249145,0.9570247206439932,,0.9898428014795663,,0.9869800581771171,,0.9529669290674042,0.9610825122205823,0.987836499034269,0.9918491039248636,0.9845991214209109,0.9893609949333233
45,0.08459249977267377,0.9512069088846273,,0.9863547272282466,,0.9838471439633341,,0.9478192336767076,0.954594584092547,0.9843705032720133,0.9883389511844799,0.9816203754842564,0.9860739124424117
64,0.06498254817749487,0.945100288280893,,0.9837897835625936,,0.9800529235206766,,0.9419395567194518,0.9482610198423341,0.982013790746997,0.9855657763781902,0.9780092054046707,0.9820966416366825
91,0.04956988468699835,0.9400301683841285,,0.9818862831329732,,0.9756593353022123,,0.9373048161301751,0.9427555206380818,0.9802762192060729,0.9834963470598735,0.9737874366531563,0.9775312339512683
128,0.03790648643687201,0.9358653245601011,,0.9770552705432263,,0.9728412967930524,,0.9335207793731204,0.9382098697470818,0.9755739095390685,0.978536631547384,0.9711912178229418,0.974491375763163
160,0.031719836345211416,0.9316746170807002,,0.9750651570296167,,0.9692695089269499,,0.9295578026528782,0.9337914315085222,0.9737148485351099,0.9764154655241235,0.9677692130602176,0.9707698047936821
200,0.02649158683274018,0.9285953796970985,,0.9733174054255621,,0.9677398476221681,,0.9266377361456325,0.9305530232485645,0.9720532084338113,0.974581602417313,0.9663553752173705,0.9691243200269658
