type,size,k,runs,LV_app,LV_app_CI_lower,LV_app_CI_upper,continuation_app,continuation_app_CI_lower,continuation_app_CI_upper,greedy_app,greedy_app_CI_lower,greedy_app_CI_upper
geometric,60,0.1621191498781965,1000,0.9556889250363163,0.9524206824946939,0.9589571675779387,0.9833104058070078,0.9811944147978688,0.9854263968161467,0.9894824504112719,0.9877739186498768,0.991190982172667
geometric,60,0.2873285911276864,1000,0.9188803030303029,0.9135826569148875,0.9241779491457183,0.923096076146076,0.9179261748355745,0.9282659774565776,0.9749342657342657,0.9714828528782078,0.9783856785903235
geometric,60,0.41253803237717623,1000,0.9141964285714286,0.9074863245070413,0.9209065326358159,0.8981785714285715,0.8910753906729327,0.9052817521842103,0.9740952380952381,0.9696650750658825,0.9785254011245937
geometric,60,0.5377474736266662,1000,0.8983166666666668,0.8900865775594816,0.9065467557738519,0.852816666666667,0.8453393068910158,0.8602940264423182,0.9659333333333334,0.9598064286610193,0.9720602380056476
geometric,60,0.662956914876156,1000,0.98025,0.9747438481653168,0.9857561518346831,0.94225,0.9336465233928455,0.9508534766071546,0.99575,0.9931112026336872,0.9983887973663128
geometric,60,0.7881663561256459,1000,0.9786666666666666,0.9727096413159032,0.9846236920174299,0.9413333333333332,0.9324085791091787,0.9502580875574878,0.996,0.9933324359857078,0.9986675640142922
geometric,60,0.9133757973751359,1000,0.9193333333333332,0.9076763588782739,0.9309903077883925,0.8484166666666665,0.8348587833096197,0.8619745500237133,0.9563333333333333,0.9471502379558528,0.9655164287108137
geometric,60,1.0385852386246257,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
geometric,60,1.1637946798741154,1000,0.994,0.9895546709530798,0.9984453290469202,1.0,1.0,1.0,1.0,1.0,1.0
geometric,60,1.2890041211236054,1000,0.993,0.988203358138561,0.997796641861439,1.0,1.0,1.0,1.0,1.0,1.0
geometric,60,1.4142135623730951,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
