size,p_connection,LV_app,LV_app_CI_lower,LV_app_CI_upper,continuation_app,continuation_app_CI_lower,continuation_app_CI_upper,greedy_app,greedy_app_CI_lower,greedy_app_CI_upper
11,0.21799047934530644,0.9546500000000001,0.9468619828355724,0.9624380171644278,0.9976,0.995643357267428,0.999556642732572,0.9814166666666666,0.9761704176079181,0.9866629157254151
16,0.17328679513998632,0.9406642857142858,0.9326301067978686,0.9486984646307031,0.9910833333333333,0.9876733596800317,0.994493306986635,0.9743904761904763,0.9687929848037399,0.9799879675772126
23,0.13632583547518043,0.9205559523809524,0.9124678879337944,0.9286440168281105,0.9829571428571429,0.9787209301857974,0.9871933555284883,0.9575559523809525,0.9512549288470827,0.9638569759148222
32,0.10830424696249145,0.9010130952380953,0.8929899166265601,0.9090362738496304,0.9773809523809525,0.9728811171345144,0.9818807876273905,0.9424107142857144,0.9358061950012798,0.949015233570149
45,0.08459249977267377,0.8809246031746031,0.8731138575373898,0.8887353488118164,0.966781746031746,0.9618169792368219,0.9717465128266702,0.9315337301587301,0.9251113354914137,0.9379561248260465
64,0.06498254817749487,0.8621900793650793,0.8548120460250993,0.8695681127050593,0.9513809523809524,0.9460386736667742,0.9567232310951307,0.9093531746031747,0.9030392505319443,0.915667098674405
91,0.04956988468699835,0.8356755050505054,0.828527150556205,0.8428238595448058,0.9372805555555556,0.9318223171156341,0.942738793995477,0.8971212121212122,0.8911760747819986,0.9030663494604259
128,0.03790648643687201,0.8107929292929293,0.8040475459047765,0.8175383126810822,0.9240797979797981,0.9188237059484884,0.9293358900111078,0.8830101010101011,0.8773044113770835,0.8887157906431188
160,0.031719836345211416,0.8105712121212122,0.8037536133535466,0.8173888108888778,0.9248712121212121,0.9193367844032162,0.9304056398392081,0.883669696969697,0.8779838542159993,0.8893555397233947
200,0.02649158683274018,0.7877121212121212,0.78163725936296,0.7937869830612824,0.903801515151515,0.898589571183307,0.909013459119723,0.8682469696969696,0.8628953265014472,0.873598612892492
